strategy,type,currency,total_return,annual_return,annual_volatility,sharpe,max_drawdown,final_value
Plazo fijo UVA,Argentina,ARS,35.89967382474683,0.8401315764634403,0.13906695522048046,6.041202060773339,0.0,3689.967382474683
Plazo fijo BADLAR,Argentina,ARS,9.334484661966005,0.4839835854876855,0.049593200117033685,9.759071492574494,0.0,1033.4484661966005
Money market,Argentina,ARS,10.799485409275416,0.5176092154787457,0.06802121024650909,7.609526699141756,0.0,1179.9485409275417
Merval,Argentina,ARS,75.0906110553686,1.0795599688390287,0.5677925722559674,1.901328093373421,-0.3919906325987955,7609.06110553686
muy_conservador,Modelo,ARS,26.652992126683735,0.7525673886905417,0.300531579940736,2.5041208276313123,-0.14611459513467095,2765.299212668374
conservador,Modelo,ARS,27.490211309928,0.7614245982712031,0.30200792819888944,2.521207316682632,-0.14052171673352531,2849.0211309927995
moderado,Modelo,ARS,27.9158275440287,0.7658446753944415,0.3028915103712859,2.5284454967247685,-0.13982236107814205,2891.5827544028703
levemente_riesgoso,Modelo,ARS,28.61415024116407,0.7729810870836653,0.3032985855199016,2.5485812462944852,-0.13498075889831207,2961.415024116407
muy_riesgoso,Modelo,ARS,28.987766505982968,0.7767419581193671,0.30520987573033787,2.544943725233983,-0.13374596954355267,2998.776650598297
