Estrategia,Tipo,Retorno anualizado,Volatilidad anualizada,Sharpe,Drawdown maximo,Valor final (base 100)
Plazo fijo UVA,Argentina,0.1325043321575341,0.3008264668514213,0.4404676674375803,-0.33236680031228716,208.8026034128569
Plazo fijo BADLAR,Argentina,-0.0866860495674644,0.26210689676379473,-0.33072784668304267,-0.6458244173250745,58.479305605719546
Money market,Argentina,-0.0659912404986529,0.2639606546282537,-0.250004079553413,-0.6043373637833643,66.76924257082185
Merval,Argentina,0.27985993165656553,0.5276020198613197,0.5304375668048557,-0.46088912450822495,430.57068089801965
muy_conservador,Modelo,0.0786131739039202,0.04737419952735892,1.6594090177401426,-0.06284428302017253,156.4788018352196
conservador,Modelo,0.0840643211747063,0.05185078603284666,1.6212738052119957,-0.07103401719136171,161.2163381592222
moderado,Modelo,0.08678464647892081,0.05430022377702108,1.5982373633540454,-0.07500892860833586,163.6247545088378
levemente_riesgoso,Modelo,0.09117673303266538,0.060839636799016696,1.4986403244626043,-0.08723556396081267,167.57632323751216
muy_riesgoso,Modelo,0.09349135161488853,0.06934020985031825,1.348299230947012,-0.1016613190473874,169.6904895887403
